binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
libxcb-xkb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz
libxcb-xkb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc
libxcb-xkb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz
libxcb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz
libxcb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc
libxcb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz
libxcb1-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.diff.gz
libxcb1-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14-3ubuntu3.dsc
libxcb1-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3	libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz	libxcb/1.14-3ubuntu3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcb/1.14-3ubuntu3/libxcb_1.14.orig.tar.gz
libxcomposite-dev	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5-1build2.diff.gz	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5-1build2.diff.gz
libxcomposite-dev	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5-1build2.dsc	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5-1build2.dsc
libxcomposite-dev	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5.orig.tar.gz	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5.orig.tar.gz
libxcomposite1	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5-1build2.diff.gz	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5-1build2.diff.gz
libxcomposite1	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5-1build2.dsc	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5-1build2.dsc
libxcomposite1	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2	libxcomposite/1%3a0.4.5-1build2/libxcomposite_0.4.5.orig.tar.gz	libxcomposite/1%3a0.4.5-1build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcomposite/1%253a0.4.5-1build2/libxcomposite_0.4.5.orig.tar.gz
libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0-2build4.debian.tar.xz	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0-2build4.debian.tar.xz
libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0-2build4.dsc	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0-2build4.dsc
libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0.orig.tar.gz	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0.orig.tar.gz
libxcursor1	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0-2build4.debian.tar.xz	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0-2build4.debian.tar.xz
libxcursor1	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0-2build4.dsc	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0-2build4.dsc
libxcursor1	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4	libxcursor/1%3a1.2.0-2build4/libxcursor_1.2.0.orig.tar.gz	libxcursor/1%3a1.2.0-2build4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxcursor/1%253a1.2.0-2build4/libxcursor_1.2.0.orig.tar.gz
libxdamage-dev	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5-2build2.debian.tar.xz	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5-2build2.debian.tar.xz
libxdamage-dev	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5-2build2.dsc	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5-2build2.dsc
libxdamage-dev	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5.orig.tar.gz	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5.orig.tar.gz
libxdamage1	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5-2build2.debian.tar.xz	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5-2build2.debian.tar.xz
libxdamage1	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5-2build2.dsc	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5-2build2.dsc
libxdamage1	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2	libxdamage/1%3a1.1.5-2build2/libxdamage_1.1.5.orig.tar.gz	libxdamage/1%3a1.1.5-2build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdamage/1%253a1.1.5-2build2/libxdamage_1.1.5.orig.tar.gz
libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.diff.gz	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.diff.gz
libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.dsc	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.dsc
libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3.orig.tar.gz	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3.orig.tar.gz
libxdmcp6	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.diff.gz	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.diff.gz
libxdmcp6	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.dsc	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3-0ubuntu5.dsc
libxdmcp6	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5	libxdmcp/1%3a1.1.3-0ubuntu5/libxdmcp_1.1.3.orig.tar.gz	libxdmcp/1%3a1.1.3-0ubuntu5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxdmcp/1%253a1.1.3-0ubuntu5/libxdmcp_1.1.3.orig.tar.gz
libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1	libxext/2%3a1.3.4-1build1/libxext_1.3.4-1build1.diff.gz	libxext/2%3a1.3.4-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxext/2%253a1.3.4-1build1/libxext_1.3.4-1build1.diff.gz
libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1	libxext/2%3a1.3.4-1build1/libxext_1.3.4-1build1.dsc	libxext/2%3a1.3.4-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxext/2%253a1.3.4-1build1/libxext_1.3.4-1build1.dsc
