binary_package	binary_version	source_package	source_version
libdevmapper1.02.1	2:1.02.175-2.1ubuntu5	lvm2	2.03.11-2.1ubuntu5
libdouble-conversion-dev	3.1.7-4	double-conversion	3.1.7-4
libdouble-conversion3	3.1.7-4	double-conversion	3.1.7-4
libdrm-amdgpu1	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdrm-dev	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdrm2	2.4.113-2~ubuntu0.22.04.1	libdrm	2.4.113-2~ubuntu0.22.04.1
libdw1	0.186-1ubuntu0.1	elfutils	0.186-1ubuntu0.1
libedit2	3.1-20210910-1build1	libedit	3.1-20210910-1build1
libegl-dev	1.4.0-1	libglvnd	1.4.0-1
libegl-mesa0	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libegl1	1.4.0-1	libglvnd	1.4.0-1
libegl1-mesa-dev	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libelf1	0.186-1ubuntu0.1	elfutils	0.186-1ubuntu0.1
libepoxy-dev	1.5.10-1	libepoxy	1.5.10-1
libepoxy0	1.5.10-1	libepoxy	1.5.10-1
libevdev-dev	1.12.1+dfsg-1	libevdev	1.12.1+dfsg-1
libevdev2	1.12.1+dfsg-1	libevdev	1.12.1+dfsg-1
libexpat1	2.4.7-1ubuntu0.7	expat	2.4.7-1ubuntu0.7
libexpat1-dev	2.4.7-1ubuntu0.7	expat	2.4.7-1ubuntu0.7
libext2fs-dev	1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2
libext2fs2	1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2
libfakeroot	1.28-1ubuntu1	fakeroot	1.28-1ubuntu1
libfbclient2	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2
libffi-dev	3.4.2-4	libffi	3.4.2-4
libffi8	3.4.2-4	libffi	3.4.2-4
libflac8	1.3.3-2ubuntu0.2	flac	1.3.3-2ubuntu0.2
libfontconfig-dev	2.13.1-4.2ubuntu5	fontconfig	2.13.1-4.2ubuntu5
libfontconfig1	2.13.1-4.2ubuntu5	fontconfig	2.13.1-4.2ubuntu5
libfreetype-dev	2.11.1+dfsg-1ubuntu0.3	freetype	2.11.1+dfsg-1ubuntu0.3
libfreetype6	2.11.1+dfsg-1ubuntu0.3	freetype	2.11.1+dfsg-1ubuntu0.3
libfribidi-dev	1.0.8-2ubuntu3.1	fribidi	1.0.8-2ubuntu3.1
libfribidi0	1.0.8-2ubuntu3.1	fribidi	1.0.8-2ubuntu3.1
libgbm-dev	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libgbm1	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libgcc-11-dev	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3
libgcc-s1	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libgcrypt20	1.9.4-3ubuntu3	libgcrypt20	1.9.4-3ubuntu3
libgcrypt20-dev	1.9.4-3ubuntu3	libgcrypt20	1.9.4-3ubuntu3
libgd3	2.3.0-2ubuntu2.3	libgd2	2.3.0-2ubuntu2.3
libgdbm-compat4	1.23-1	gdbm	1.23-1
libgdbm6	1.23-1	gdbm	1.23-1
libgdk-pixbuf-2.0-0	2.42.8+dfsg-1ubuntu0.5	gdk-pixbuf	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf-2.0-dev	2.42.8+dfsg-1ubuntu0.5	gdk-pixbuf	2.42.8+dfsg-1ubuntu0.5
libgirepository-1.0-1	1.72.0-1	gobject-introspection	1.72.0-1
libgl-dev	1.4.0-1	libglvnd	1.4.0-1
libgl1	1.4.0-1	libglvnd	1.4.0-1
libgl1-mesa-dri	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libglapi-mesa	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libgles-dev	1.4.0-1	libglvnd	1.4.0-1
libgles1	1.4.0-1	libglvnd	1.4.0-1
libgles2	1.4.0-1	libglvnd	1.4.0-1
libglib2.0-0	2.72.4-0ubuntu2.9	glib2.0	2.72.4-0ubuntu2.9
libglib2.0-dev	2.72.4-0ubuntu2.9	glib2.0	2.72.4-0ubuntu2.9
libglu1-mesa	9.0.2-1	libglu	9.0.2-1
libglu1-mesa-dev	9.0.2-1	libglu	9.0.2-1
libglvnd-core-dev	1.4.0-1	libglvnd	1.4.0-1
libglvnd0	1.4.0-1	libglvnd	1.4.0-1
libglx-dev	1.4.0-1	libglvnd	1.4.0-1
libglx-mesa0	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
libglx0	1.4.0-1	libglvnd	1.4.0-1
libgmp10	2:6.2.1+dfsg-3ubuntu1	gmp	2:6.2.1+dfsg-3ubuntu1
libgnutls30	3.7.3-4ubuntu1.8	gnutls28	3.7.3-4ubuntu1.8
