sdk_file	system_path	binary_package	binary_version	source_package	source_version
/usr/include/X11/Xarch.h	/usr/include/X11/Xarch.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xatom.h	/usr/include/X11/Xatom.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xauth.h	/usr/include/X11/Xauth.h	libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5
/usr/include/X11/Xcms.h	/usr/include/X11/Xcms.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xcursor/Xcursor.h	/usr/include/X11/Xcursor/Xcursor.h	libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4
/usr/include/X11/Xdefs.h	/usr/include/X11/Xdefs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xdmcp.h	/usr/include/X11/Xdmcp.h	libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5
/usr/include/X11/Xft/Xft.h	/usr/include/X11/Xft/Xft.h	libxft-dev	2.3.4-1	xft	2.3.4-1
/usr/include/X11/Xft/XftCompat.h	/usr/include/X11/Xft/XftCompat.h	libxft-dev	2.3.4-1	xft	2.3.4-1
/usr/include/X11/Xfuncproto.h	/usr/include/X11/Xfuncproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xfuncs.h	/usr/include/X11/Xfuncs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xlib-xcb.h	/usr/include/X11/Xlib-xcb.h	libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xlib.h	/usr/include/X11/Xlib.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/XlibConf.h	/usr/include/X11/XlibConf.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xlibint.h	/usr/include/X11/Xlibint.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xlocale.h	/usr/include/X11/Xlocale.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xmd.h	/usr/include/X11/Xmd.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xos.h	/usr/include/X11/Xos.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xos_r.h	/usr/include/X11/Xos_r.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xosdefs.h	/usr/include/X11/Xosdefs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xpoll.h	/usr/include/X11/Xpoll.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xproto.h	/usr/include/X11/Xproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xprotostr.h	/usr/include/X11/Xprotostr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xregion.h	/usr/include/X11/Xregion.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xresource.h	/usr/include/X11/Xresource.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xthreads.h	/usr/include/X11/Xthreads.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xtrans/Xtrans.c	/usr/include/X11/Xtrans/Xtrans.c	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/Xtrans.h	/usr/include/X11/Xtrans/Xtrans.h	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/Xtransint.h	/usr/include/X11/Xtrans/Xtransint.h	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/Xtranslcl.c	/usr/include/X11/Xtrans/Xtranslcl.c	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/Xtranssock.c	/usr/include/X11/Xtrans/Xtranssock.c	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/Xtransutil.c	/usr/include/X11/Xtrans/Xtransutil.c	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xtrans/transport.c	/usr/include/X11/Xtrans/transport.c	xtrans-dev	1.4.0-1	xtrans	1.4.0-1
/usr/include/X11/Xutil.h	/usr/include/X11/Xutil.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xw32defs.h	/usr/include/X11/Xw32defs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xwindows.h	/usr/include/X11/Xwindows.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xwinsock.h	/usr/include/X11/Xwinsock.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/ap_keysym.h	/usr/include/X11/ap_keysym.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/cursorfont.h	/usr/include/X11/cursorfont.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/dri/xf86dri.h	/usr/include/X11/dri/xf86dri.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/dri/xf86driproto.h	/usr/include/X11/dri/xf86driproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/dri/xf86dristr.h	/usr/include/X11/dri/xf86dristr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/EVI.h	/usr/include/X11/extensions/EVI.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/EVIproto.h	/usr/include/X11/extensions/EVIproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/MITMisc.h	/usr/include/X11/extensions/MITMisc.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/XEVI.h	/usr/include/X11/extensions/XEVI.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/XI.h	/usr/include/X11/extensions/XI.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XI2.h	/usr/include/X11/extensions/XI2.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XI2proto.h	/usr/include/X11/extensions/XI2proto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XInput.h	/usr/include/X11/extensions/XInput.h	libxi-dev	2:1.8-1build1	libxi	2:1.8-1build1
/usr/include/X11/extensions/XInput2.h	/usr/include/X11/extensions/XInput2.h	libxi-dev	2:1.8-1build1	libxi	2:1.8-1build1
/usr/include/X11/extensions/XIproto.h	/usr/include/X11/extensions/XIproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XKB.h	/usr/include/X11/extensions/XKB.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XKBgeom.h	/usr/include/X11/extensions/XKBgeom.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/extensions/XKBproto.h	/usr/include/X11/extensions/XKBproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XKBsrv.h	/usr/include/X11/extensions/XKBsrv.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XKBstr.h	/usr/include/X11/extensions/XKBstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
